Country,Knot_date_1,Knot_date_2,N_knots,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Intercept_1,Intercept_2,Intercept_3,Pois_dev_inc,Pois_dev_cum,BIC,Prob_unequal,N_unequal
Poland,2020-03-21,2020-04-03,2,1.2292468024311791,1.111000524739953,0.994646299490579,0.04550189974121197,0.011076499399904296,0.0023825918933668097,0,50.254668018771085,393.034215603427,64.97535872474263,262.0522567975654,641.3215229000253,0.05575885610551146,4
Poland,2020-03-22,2020-04-04,2,1.2287610724083007,1.0917294273029512,0.9935096503988836,0.035684037706979005,0.009785587832568832,0.002504203319329256,0,73.44896177646726,405.7264670429284,44.930216808259985,60.757626553065975,643.1213326806978,0.24049218028847846,17
Poland,2020-03-22,2020-04-05,2,1.236939705300888,1.0844238367640515,0.9927415324138561,0.03616183895722974,0.009233781601137529,0.0026531879775116545,0,81.74850553574436,414.280223413903,69.83611348393256,496.423842866669,643.1077703908269,0.029433989299390787,2
Poland,2020-03-23,2020-04-04,2,1.213178249744401,1.0902064938812672,0.9935908985771074,0.03106401287058861,0.010328438030207466,0.002528404210645059,0,77.96409321722686,404.81465213119986,78.77980757362192,797.4454630078556,643.2116902069214,0.018323176639298343,1
Poland,2020-03-23,2020-04-05,2,1.2198093096443452,1.0827909148812154,0.9928466395688397,0.03133863846212366,0.00967766446113341,0.0026679821728227316,0,86.86966227982441,413.0975488378108,50.76813016810196,91.40371054514466,643.1062623706906,0.1598593097780554,11
Poland,2020-03-24,2020-04-05,2,1.2053995322774271,1.0807365291150242,0.9929718173097682,0.02732985641641694,0.010259360512446084,0.0026895234634696052,0,93.3725893686397,411.69519908630326,87.09483185932874,1030.5634989204636,643.099796906593,0.014178392786282534,1
Poland,2020-03-24,2020-04-06,2,1.2185178143475879,1.0675287437520555,0.9920020146276416,0.028357780054124697,0.009320840640091137,0.0030342598409932946,0,113.0908138760537,422.9014567443997,66.52530752860267,79.83709368375891,645.4122720848757,0.18301936361534193,13
Portugal,2020-03-17,2020-03-28,2,1.368357738188277,1.2018149460977776,0.9716190540355143,0.21502191064566573,0.025505483128373033,0.003610171346999496,0,55.1256641819553,1037.6017315036952,724.0214218533105,1359.9081779644055,916.1358837877124,0.1026070120199737,4
Portugal,2020-03-19,2020-03-28,2,1.332909804176485,1.2007405216849685,0.9716469578591075,0.16662940008932836,0.027084818843075474,0.003624442552905188,0,59.211838556199424,1036.9831689649743,780.1541277160238,4037.8130734454767,916.1473325198269,0.034557348798563314,1
Portugal,2020-03-21,2020-03-31,2,1.3363307963634548,1.1060118890625568,0.9679178367392051,0.07041999898990105,0.01844403750744965,0.0037549134106602904,0,234.9252854469159,1119.8319727349538,716.8393421480042,5723.567588720151,915.6350476239011,0.024379220232752765,1
